date,open,high,low,close,volume,macd,macdsignal,macdhist,rsi,upperband,middleband,lowerband,k,d,volume_change,macd_signal,signal
2024-07-01 00:00:00,62772.01,62809.01,62573.32,62624.0,416.77792,,,,,,,,,,,,
2024-07-01 00:15:00,62624.0,62744.99,62621.4,62720.02,196.18162,,,,,,,,,,-220.59629999999999,,
2024-07-01 00:30:00,62720.02,62839.49,62684.0,62804.6,192.89394,,,,,,,,,,-3.287680000000023,,
2024-07-01 00:45:00,62804.6,62944.0,62797.04,62931.99,181.27297,,,,,,,,,,-11.62097,,
2024-07-01 01:00:00,62931.98,63653.37,62901.71,63644.0,1135.4786,,,,,,,,,,954.2056299999999,,
2024-07-01 01:15:00,63644.0,63650.0,63410.0,63488.0,471.96011,,,,,,,,,,-663.5184899999999,,
2024-07-01 01:30:00,63487.99,63663.0,63474.96,63617.78,392.69738,,,,,,,,,,-79.26272999999998,,
2024-07-01 01:45:00,63617.77,63730.0,63540.82,63640.82,570.26562,,,,,,,,,,177.56824,,
2024-07-01 02:00:00,63640.81,63818.33,63375.3,63527.49,1027.20191,,,,,,,,84.6975207220557,89.15320077456259,456.93629,,Potential Overbought (Stochastic)
2024-07-01 02:15:00,63527.49,63614.24,63513.51,63572.54,399.97999,,,,,,,,67.74408274378989,80.79136636103813,-627.22192,,
2024-07-01 02:30:00,63572.54,63605.55,63349.6,63390.0,429.59248,,,,,,,,40.47003539097222,64.30387961893926,29.612490000000037,,
2024-07-01 02:45:00,63389.99,63448.0,63288.53,63435.86,180.55793,,,,,,,,26.982776173435283,45.065631436065786,-249.03455000000002,,
2024-07-01 03:00:00,63435.86,63536.47,63376.4,63457.38,377.81124,,,,,,,,22.766052869981802,30.07295481146309,197.25331,,
2024-07-01 03:15:00,63457.38,63518.34,63395.99,63456.92,461.83632,,,,,,,,37.126162887710706,28.958330643709257,84.02508,,
2024-07-01 03:30:00,63456.92,63468.0,63340.0,63371.72,256.6094,,,,70.51042912474357,,,,36.60370941688718,32.16530839152656,-205.22692,,
2024-07-01 03:45:00,63371.72,63477.28,63371.71,63437.69,168.20585,,,,71.61669588443742,,,,46.03344237823569,39.92110489427785,-88.40355,,
2024-07-01 04:00:00,63437.69,63466.92,63364.01,63395.16,153.62747,,,,69.79878391767123,,,,38.15883194322191,40.265327912781586,-14.57838000000001,,
2024-07-01 04:15:00,63395.16,63438.26,63340.0,63347.99,92.30793,,,,67.74483364182996,,,,30.905151856014598,38.36580872582406,-61.31953999999999,,
2024-07-01 04:30:00,63347.99,63363.7,63223.25,63229.82,180.4943,,,,62.76212225187693,,,,11.714016070467359,26.92599995656795,88.18637000000001,,
2024-07-01 04:45:00,63229.81,63306.0,63223.2,63279.79,90.7231,,,,63.96897145748337,63915.47402157444,63318.6785,62721.882978425565,9.77967588186044,17.46628126944746,-89.77120000000001,,Potential Oversold (Stochastic)
2024-07-01 05:00:00,63279.79,63365.73,63262.0,63340.31,112.77185,,,,65.4302679881996,63859.08476001692,63354.494000000006,62849.90323998309,24.303287825902135,15.265659926076637,22.04875,,
2024-07-01 05:15:00,63340.31,63425.47,63320.0,63387.73,94.74246,,,,66.57417607023591,63800.023823822165,63387.8795,62975.73517617784,48.94259538376707,27.67518636384321,-18.029390000000006,,
2024-07-01 05:30:00,63387.73,63457.47,63375.57,63392.01,133.63637,,,,66.68134022481026,63730.89447350859,63417.25,63103.60552649141,65.53771849598247,46.26120056855056,38.893910000000005,,
2024-07-01 05:45:00,63392.01,63447.98,63392.0,63432.94,77.11424,,,,67.74629149670275,63663.24348532951,63442.2975,63221.35151467049,79.36376301526495,64.61469229833817,-56.522130000000004,,
2024-07-01 06:00:00,63432.94,63456.97,63381.32,63381.33,97.60886,,,,64.92821688971934,63630.9901644375,63429.164000000004,63227.33783556251,74.21159625937914,73.03769259020885,20.494620000000012,,
2024-07-01 06:15:00,63381.33,63384.0,63293.75,63382.0,122.94334,,,,64.94860129006251,63624.79681029528,63423.864,63222.93118970472,68.15997065924734,73.91177664463048,25.33448,,
2024-07-01 06:30:00,63381.99,63420.0,63344.17,63362.01,170.25058,,,,63.757916287683635,63592.63626607328,63411.0755,63229.51473392672,52.21462362014277,64.86206351292307,47.30724000000001,,
2024-07-01 06:45:00,63362.01,63464.74,63337.32,63404.0,135.80552,,,,65.2010640785746,63547.07556377076,63399.2345,63251.393436229235,53.35786485757158,57.91081971232055,-34.44506000000001,,
2024-07-01 07:00:00,63403.99,63432.0,63350.0,63432.0,122.13943,,,,66.16848599806285,63531.17363383284,63394.46,63257.74636616716,62.341090295121454,55.9711929242786,-13.666089999999997,,
2024-07-01 07:15:00,63431.99,63432.0,63303.93,63313.73,83.38598,,,,58.740230180088524,63495.457030316684,63381.519499999995,63267.581969683306,52.33834337290802,56.01243284186702,-38.75345,,
2024-07-01 07:30:00,63313.73,63362.91,63300.01,63334.87,142.37748,,,,59.612985439443854,63494.40131129827,63378.763,63263.124688701726,37.899825529943236,50.8597530659909,58.99149999999999,,
2024-07-01 07:45:00,63334.87,63362.91,63260.71,63277.84,138.94006,,,,56.16163926743365,63491.309468779094,63370.862,63250.41453122091,13.74753976332552,34.661902888725585,-3.437420000000003,,
2024-07-01 08:00:00,63277.84,63314.99,63258.79,63260.01,118.85658,,,,55.087808604669284,63483.788466842445,63360.993500000004,63238.19853315756,10.08735758686367,20.578240960044138,-20.083479999999994,,
2024-07-01 08:15:00,63260.01,63294.0,63092.68,63117.84,262.19448,-14.482509443150775,18.2362237308294,-32.718733173980176,47.31871627327545,63498.67842668145,63344.03950000001,63189.40057331858,5.505000375627571,9.77996590860558,143.3379,,Potential Oversold
2024-07-01 08:30:00,63117.84,63124.0,62836.47,62890.0,485.07435,-46.3837575349462,5.312227477674279,-51.695985012620476,38.055892700871254,63570.29284480162,63319.95350000002,63069.61415519842,6.095825754836343,7.229394572442523,222.87986999999998,,Potential Oversold
2024-07-01 08:45:00,62890.0,62989.22,62848.0,62923.91,522.76495,-68.14395182298904,-9.379008382458386,-58.76494344053065,39.94030555399099,63591.9687202672,63294.26450000001,62996.560279732825,11.397603351981322,7.666143160815074,37.69060000000002,,Potential Oversold
2024-07-01 09:00:00,62923.91,62997.98,62868.01,62886.13,181.46468,-87.42975701364776,-24.989158108696262,-62.4405989049515,38.53381470422508,63611.32644644089,63268.81300000001,62926.299553559125,12.385270681401918,9.95956659607319,-341.30027,,Potential Oversold
