,date,open,high,low,close,volume
202400,2023-10-13 18:30:00,26756.03,26770.45,26730.29,26735.12,155.19508
202401,2023-10-13 18:45:00,26735.13,26752.64,26732.98,26749.05,136.88336
202402,2023-10-13 19:00:00,26749.04,26767.22,26723.0,26762.22,137.01325
202403,2023-10-13 19:15:00,26762.21,26776.58,26755.28,26774.99,76.26045
202404,2023-10-13 19:30:00,26774.99,26775.46,26740.0,26740.0,97.83666
202405,2023-10-13 19:45:00,26740.01,26780.73,26740.0,26778.57,238.94822
202406,2023-10-13 20:00:00,26778.57,26794.94,26771.04,26771.05,103.19373
202407,2023-10-13 20:15:00,26771.05,26771.05,26747.24,26766.17,102.40751
202408,2023-10-13 20:30:00,26766.18,26773.96,26750.52,26772.03,102.43592
202409,2023-10-13 20:45:00,26772.02,27074.07,26760.0,26981.36,1626.62851
202410,2023-10-13 21:00:00,26981.37,27130.0,26878.4,26911.51,1526.81424
202411,2023-10-13 21:15:00,26911.51,27043.57,26839.84,26998.56,772.52519
202412,2023-10-13 21:30:00,26998.55,27048.0,26990.54,27012.52,325.16239
202413,2023-10-13 21:45:00,27012.52,27050.0,27000.0,27019.2,233.14884
202414,2023-10-13 22:00:00,27019.2,27078.73,27002.01,27029.94,381.82856
202415,2023-10-13 22:15:00,27029.95,27075.23,26976.33,26979.48,391.67793
202416,2023-10-13 22:30:00,26979.49,26979.49,26862.06,26892.82,387.7607
202417,2023-10-13 22:45:00,26892.82,26919.84,26755.01,26829.9,571.60485
202418,2023-10-13 23:00:00,26829.9,26855.0,26764.65,26786.59,296.0172
202419,2023-10-13 23:15:00,26786.6,26839.3,26784.37,26825.56,174.65643
202420,2023-10-13 23:30:00,26825.55,26850.0,26824.44,26844.97,100.01907
202421,2023-10-13 23:45:00,26844.96,26862.0,26841.34,26862.0,113.77812
202422,2023-10-14 00:00:00,26862.0,26886.4,26854.41,26873.09,198.34829
202423,2023-10-14 00:15:00,26873.1,26882.83,26852.49,26882.83,127.13223
202424,2023-10-14 00:30:00,26882.82,26882.83,26859.58,26880.75,112.93298
202425,2023-10-14 00:45:00,26880.75,26899.67,26875.8,26892.46,100.42836
202426,2023-10-14 01:00:00,26892.45,26894.84,26850.0,26850.0,99.10169
202427,2023-10-14 01:15:00,26850.0,26861.0,26845.0,26847.94,84.80516
202428,2023-10-14 01:30:00,26847.95,26888.38,26845.13,26888.0,112.80654
202429,2023-10-14 01:45:00,26888.01,26929.47,26883.2,26915.05,253.07464
202430,2023-10-14 02:00:00,26915.05,26933.88,26893.79,26897.68,140.24137
202431,2023-10-14 02:15:00,26897.68,26905.49,26890.0,26898.43,69.82112
202432,2023-10-14 02:30:00,26898.43,26918.99,26887.41,26897.0,118.27851
202433,2023-10-14 02:45:00,26897.0,26917.54,26896.99,26905.0,65.37839
202434,2023-10-14 03:00:00,26905.0,26927.31,26905.0,26925.8,168.34706
202435,2023-10-14 03:15:00,26925.79,26937.47,26924.0,26936.09,124.54729
202436,2023-10-14 03:30:00,26936.08,26989.58,26931.0,26968.0,283.21797
202437,2023-10-14 03:45:00,26968.0,26968.01,26927.59,26930.78,106.7179
202438,2023-10-14 04:00:00,26930.77,26931.86,26921.7,26928.18,57.74597
202439,2023-10-14 04:15:00,26928.17,26934.72,26918.58,26923.45,89.03876
202440,2023-10-14 04:30:00,26923.45,26924.12,26920.1,26921.73,55.87426
202441,2023-10-14 04:45:00,26921.74,26921.74,26901.4,26908.43,97.44112
202442,2023-10-14 05:00:00,26908.43,26932.24,26900.0,26932.24,77.02164
202443,2023-10-14 05:15:00,26932.24,26932.24,26918.09,26929.86,93.51402
202444,2023-10-14 05:30:00,26929.85,26939.35,26901.46,26901.46,134.62218
202445,2023-10-14 05:45:00,26901.47,26901.47,26882.2,26885.07,142.13608
202446,2023-10-14 06:00:00,26885.06,26897.18,26875.06,26880.04,435.31091
